t=                   0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
t=                   3, 0000000000000000000000000000000000000000000000000000000000000000
t=             3312748, 0000000000000001000010010010000010010000000000000000011000111100
t=             3312758, 0000000000000001000010010011000010010000000000000011000111100000
t=             3312763, 0000000000000001000010010010000010110000000010010111101001100001
t=             3312768, 0000000000000001000010010010000010100000000000000100001111010000
t=             3312773, 0000000000000001000010010011000010100000000000000100000110101101
t=             3312783, 0000000000000001000010010011000010110000000010010111110001011100
t=             3312788, 0000000000000001000010010011001001100000000001111100111011110100
t=             3312793, 0000000000000001000010010010001001110000000001011001000111110010
t=             3312798, 0000000000000001000010010101100010100000000001100001000001111110
t=             3312803, 0000000000000001000010010100000010010000000000010001011111111000
t=             3312808, 0000000000000001000010010100001001110000000000000011111011101011
t=             3312813, 0000000000000001000010010011001001110000000000001011110111011010
t=             3312818, 0000000000000001000010010101000010100000000001010100000001000010
t=             3312823, 0000000000000001000010010101000010010000000000001101000000111101
t=             3312828, 0000000000000001000010010010000000000000000001011101010110010110
t=             3312833, 0000000000000001000010010100001001100000000010001110010001100111
t=             3312838, 0000000000000001000010010100000010110000000000010011101001011000
t=             3312843, 0000000000000001000010010100000010100000000000111000100011001000
t=             3312848, 0000000000000001000010010011000000000000000000001111111110000111
t=             3312853, 0000000000000001000010010101001001100000000010011101101001100100
t=             3312858, 0000000000000001000010010101100010110000000000000000000000000000
t=             3312863, 0000000000000001000010010101001001110000000000000000000000000000
t=             3312868, 0000000000000001000010010101000010110000000000000110011001100101
t=             3312873, 0000000000000001000010010101101001100000000010011101101001100101
t=             3312883, 0000000000000001000010010101100000000000000001100001000001111110
t=             3312893, 0000000000000001000010010101100010010000000000000100000000000000
t=             3312903, 0000000000000001000010010010001001100000000000000110111001110111
t=             3312913, 0000000000000001000010010101101001110000000000000000000000000000
t=             3312923, 0000000000000001000010010100000000000000000000111011001010100100
t=             3312933, 0000000000000001000010010101000000000000000001010100000001000010
