t=                   0, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
t=                   3, 0000000000000000000000000000000000000000000000000000000000000000
t=                2056, 0000000000000000000000000000000000000000000000000000001100011110
t=                2063, 0000000000000000000000000000000000000000000000000000000000000111
t=                2069, 0000000000000000000000000000000000000000000000000000010000000000
t=                2076, 0000000000000000000000000000000000000000000000000000000000011000
t=                2082, 0000000000000000000000000000000000000000000000000000000000000000
t=             4149714, 0000000000000000000000000000000000000000000000000000000000011000
t=             4149720, 0000000000000000000000000000000000000000000010001101101100001001
t=             4149727, 0000000000000000000000000000000000000000000000000100000110011101
t=             4149734, 0000000000000000000000000000000000000000000000000000011000111100
t=             4149740, 0000000000000000000000000000000000000000000000000000000000000000
t=             4149747, 0000000000000000000000000000000000000000000001100001010000011111
t=             4149753, 0000000000000000000000000000000000000000000000000100000000000000
t=             4149760, 0000000000000000000000000000000000000000000000000000000000000000
t=             4149767, 0000000000000000000000000000000000000000000010011001001010111100
t=             4149773, 0000000000000000000000000000000000000000000000000000010000000000
t=             4149780, 0000000000000000000000000000000000000000000001011010001010010101
t=             4149786, 0000000000000000000000000000000000000000000000000100000100100100
t=             4149793, 0000000000000000000000000000000000000000000000000011000111100000
t=             4149800, 0000000000000000000000000000000000000000000000001100001000010011
t=             4149806, 0000000000000000000000000000000000000000000000111000110000000110
t=             4149813, 0000000000000000000000000000000000000000000000010001011111111000
t=             4149819, 0000000000000000000000000000000000000000000000000011111110001100
t=             4149826, 0000000000000000000000000000000000000000000001010100001111100011
t=             4149833, 0000000000000000000000000000000000000000000000001101000000111101
t=             4149839, 0000000000000000000000000000000000000000000001010100001111100011
t=             4149846, 0000000000000000000000000000000000000000000001100001010000011111
t=             4149852, 0000000000000000000000000000000000000000000001011110010000010000
t=             4149859, 0000000000000000000000000000000000000000000000010000001100101011
t=             4149866, 0000000000000000000000000000000000000000000000111011010001001110
t=             4149872, 0000000000000000000000000000000000000000000000000000000000000000
